"product";"product_variation";"availability";"shop_id";"price";"shop";"href";"redirect_link"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Midnight Black EU (...έως 12 έντοκες Δόσεις με χρήση πιστωτικής από το κατάστημα) Samsung";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3704";"567.60";"Fair";"/products/show/28766043";"https://www.fair.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=7252"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Orchid Gray EU (...έως 12 έντοκες Δόσεις με χρήση πιστωτικής από το κατάστημα) Samsung";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3704";"567.60";"Fair";"/products/show/28766041";"https://www.fair.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=7254"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB Orchid Gray(εως 24 δόσεις)";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3054";"567.70";"Shop66";"/products/show/28770759";"https://shop66.gr/product/tilefonia/smartphones/samsung-smartphones/samsung-galaxy-s8-64gb-orchid-gray/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB MidNight Black(εως 24 δόσεις)";"Παράδοση 1 έως 3 ημέρες";"3054";"567.70";"Shop66";"/products/show/28770058";"https://shop66.gr/product/tilefonia/smartphones/samsung-smartphones/samsung-galaxy-s8-64gb-midnight-black/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB Arctic Silver(εως 24 δόσεις)";"Παράδοση 1 έως 3 ημέρες";"3054";"567.70";"Shop66";"/products/show/28770758";"https://shop66.gr/product/tilefonia/smartphones/samsung-smartphones/samsung-galaxy-s8-64gb-arctic-silver/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (G950) Arctic Silver 64GB EU";"Παράδοση 4 έως 10 ημέρες";"282";"568.00";"TerrabyteNet";"/products/show/28479395";"http://www.terrabytenet.gr/index.php?dispatch=products.view&product_id=7043"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (G950) Orchid Gray 64GB EU";"Παράδοση 4 έως 10 ημέρες";"282";"568.00";"TerrabyteNet";"/products/show/28479394";"http://www.terrabytenet.gr/index.php?dispatch=products.view&product_id=7042"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (G950) Midnight Black 64GB EU";"Παράδοση 4 έως 10 ημέρες";"282";"568.00";"TerrabyteNet";"/products/show/28479393";"http://www.terrabytenet.gr/index.php?dispatch=products.view&product_id=7041"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F 64GB Orchid Grey EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1996";"570.00";"Kaizer";"/products/show/28873363";"https://www.kaizer.gr/samsung-galaxy-s8-g950-64gb-orchid-grey-eu"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F 64GB Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"1996";"570.00";"Kaizer";"/products/show/28931190";"https://www.kaizer.gr/samsung-galaxy-s8-g950-64gb-arctic-silver-eu"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB Coral Blue (εως 24 δόσεις)";"Παράδοση 1 έως 3 ημέρες";"3054";"570.00";"Shop66";"/products/show/29810884";"https://shop66.gr/product/tilefonia/smartphones/samsung-smartphones/samsung-galaxy-s8-64gb-coral-blue/"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB Arctic Silver EU";"Παράδοση 4 έως 10 ημέρες";"4577";"570.65";"OneThing";"/products/show/31682090";"https://www.onething.gr/shop/samsung-galaxy-s8-64gb-arctic-silver-eu/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - G950F (Ροζ) EU";"Παράδοση 1 έως 3 ημέρες";"1712";"579.85";"Mmplanet";"/products/show/32448368";"https://www.mmplanet.gr/shop/kinita-tilefona-1244/41315-709054-samsung-galaxy-s8-64gb-g950f-roz-eu-detail"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - G950F (Ασημί) EU";"Παράδοση 1 έως 3 ημέρες";"1712";"579.85";"Mmplanet";"/products/show/28909922";"https://www.mmplanet.gr/shop/kinita-tilefona-1244/40210-709052-samsung-galaxy-s8-64gb-g950f-asimi-eu-detail"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - G950F (Γκρι) EU";"Παράδοση 1 έως 3 ημέρες";"1712";"579.85";"Mmplanet";"/products/show/28785716";"https://www.mmplanet.gr/shop/kinita-tilefona-1244/40195-709051-samsung-galaxy-s8-64gb-g950f-gkri-eu-detail"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - G950F (Μαύρο) EU";"Παράδοση 1 έως 3 ημέρες";"1712";"579.85";"Mmplanet";"/products/show/28695072";"https://www.mmplanet.gr/shop/kinita-tilefona-1244/40184-709050-samsung-galaxy-s8-64gb-g950f-mayro-eu-detail"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) BLACK EU ( <U+2714>ΔΩΡΟ ΘΗΚΗ + <U+2714>TEMPERED GLASS + <U+2714>ΦΟΡΤΙΣΤΗΣ ΑΥΤΟΚΙΝΗΤΟΥ 12V ) <U+2714>ΚΑΙ ΣΕ ΕΩΣ 12 ΔΟΣΕΙΣ";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4102";"579.90";"Online Megastore ";"/products/show/29008957";"http://www.onlinemegastore.gr/index.php?route=product/product&product_id=431"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB Pink Gold(εως 24 δόσεις)";"Παράδοση 1 έως 3 ημέρες";"3054";"582.70";"Shop66";"/products/show/32568650";"https://shop66.gr/product/tilefonia/smartphones/samsung-smartphones/samsung-galaxy-s8-64gb-pink-gold/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 SM-G950F 64GB Midnight Black EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3953";"582.80";"Smartphone-repair";"/products/show/28954433";"https://smartphone-repair.gr/index.php?id_product=880&controller=product"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB Coral Blue EU";"Παράδοση 1 έως 3 ημέρες";"4577";"584.32";"OneThing";"/products/show/33265475";"https://www.onething.gr/shop/samsung-g950-galaxy-s8-4g-64gb-coral-blue-eu/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - Orchid Gray [SM-G950FGR]";"Κατόπιν παραγγελίας";"18";"585.00";"Msystems";"/products/show/32812813";"https://www.msystems.gr/index.php?category=1111&product=23905"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - Coral Blue [SM-G950FBL]";"Κατόπιν παραγγελίας";"18";"585.00";"Msystems";"/products/show/32812815";"https://www.msystems.gr/index.php?category=1111&product=23906"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - Midnight Black [SM-G950FBK]";"Κατόπιν παραγγελίας";"18";"585.00";"Msystems";"/products/show/32812814";"https://www.msystems.gr/index.php?category=1111&product=23904"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950 (64GB) Orchid Grey";"Κατόπιν παραγγελίας";"708";"585.00";"Plus3";"/products/show/28681845";"http://plus3.gr/index.php?route=product/product&product_id=76070"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950 (64GB) Midnight Black";"Κατόπιν παραγγελίας";"708";"585.00";"Plus3";"/products/show/28681844";"http://plus3.gr/samsung-galaxy-s8-midnight-black"
"Samsung Galaxy S8 (64GB)";"Samsung G950 Galaxy S8 4G 64GB orchid gray / violet (έως 36 δόσεις)";"Παράδοση 4 έως 10 ημέρες";"246";"589.00";"VNP Shop";"/products/show/29281874";"https://www.vnp.gr/kinita-tilefona/samsung-g950-galaxy-s8-4g-64gb-orchid-gray-violet.html"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB Midnight Black";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4057";"589.99";"Metrostore";"/products/show/33530619";"http://metrostore.gr/index.php/mobile-phones/samsung-galaxy-s8-dual-sim-64gb-midnight-black-1399-detail?lang=el"
"Samsung Galaxy S8 (64GB)";"Samsung S8 G950 64GB LTE Coral Blue EU (...έως 12 έντοκες Δόσεις με χρήση πιστωτικής από το κατάστημα) Samsung";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3704";"593.90";"Fair";"/products/show/29124939";"https://www.fair.gr/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=7345"
